name                             component                               version
bd12451d02f92d08168bde8e4d866e6e analysis-icu                            2.19.0
bd12451d02f92d08168bde8e4d866e6e analysis-ik                             2.19.0
bd12451d02f92d08168bde8e4d866e6e analysis-kuromoji                       2.19.0
bd12451d02f92d08168bde8e4d866e6e analysis-phonetic                       2.19.0
bd12451d02f92d08168bde8e4d866e6e analysis-seunjeon                       2.19.0
bd12451d02f92d08168bde8e4d866e6e analysis-smartcn                        2.19.0
bd12451d02f92d08168bde8e4d866e6e analysis-stempel                        2.19.0
bd12451d02f92d08168bde8e4d866e6e analysis-thaichub2                      2.19.0
bd12451d02f92d08168bde8e4d866e6e analysis-ukrainian                      2.19.0
bd12451d02f92d08168bde8e4d866e6e aws-opensearch-admission-control-plugin 2.19.0
bd12451d02f92d08168bde8e4d866e6e aws-opensearch-coral-network-plugin     2.19.0
bd12451d02f92d08168bde8e4d866e6e aws-opensearch-network-core-plugin      2.19.0
bd12451d02f92d08168bde8e4d866e6e aws-opensearch-network-plugin           2.19.0
bd12451d02f92d08168bde8e4d866e6e aws-opensearch-network-security-plugin  2.19.0
bd12451d02f92d08168bde8e4d866e6e cache-ehcache                           2.19.0
bd12451d02f92d08168bde8e4d866e6e crypto-kms                              2.19.0
bd12451d02f92d08168bde8e4d866e6e discovery-ec2                           2.19.0
bd12451d02f92d08168bde8e4d866e6e elasticsearch-aes-iam                   2.16.0
bd12451d02f92d08168bde8e4d866e6e elasticsearch-aes-remote-reindex        2.19.0
bd12451d02f92d08168bde8e4d866e6e ingest-attachment                       2.19.0
bd12451d02f92d08168bde8e4d866e6e kraken                                  unspecified
bd12451d02f92d08168bde8e4d866e6e kraken-index-management-extension       x.x.x.x
bd12451d02f92d08168bde8e4d866e6e mapper-murmur3                          2.19.0
bd12451d02f92d08168bde8e4d866e6e mapper-size                             2.19.0
bd12451d02f92d08168bde8e4d866e6e opensearch-alerting                     x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-analysis-sudachi             2.19.0
bd12451d02f92d08168bde8e4d866e6e opensearch-analysis-vietnamese          2.19.0
bd12451d02f92d08168bde8e4d866e6e opensearch-anomaly-detection            x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-asynchronous-search          x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-cross-cluster                2.19.0
bd12451d02f92d08168bde8e4d866e6e opensearch-cross-cluster-replication    x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-custom-codecs                x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-flow-framework               x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-geospatial                   x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-index-management             x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-job-scheduler                x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-knn                          x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-ltr                          x.x.x.x-SNAPSHOT
bd12451d02f92d08168bde8e4d866e6e opensearch-ml                           x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-neural-search                x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-notifications                x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-notifications-core           x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-observability                x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-reports-scheduler            x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-security                     x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-security-analytics           x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-skills                       x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-sql                          x.x.x.x
bd12451d02f92d08168bde8e4d866e6e opensearch-system-templates             x.x.x.x
bd12451d02f92d08168bde8e4d866e6e performance-analyzer                    x.x.x.x
bd12451d02f92d08168bde8e4d866e6e query-insights                          x.x.x.x
bd12451d02f92d08168bde8e4d866e6e repository-s3                           2.19.0
bd12451d02f92d08168bde8e4d866e6e sifi-remediation-plugin                 x.x.x.x
bd12451d02f92d08168bde8e4d866e6e telemetry-otel                          2.19.0
bd12451d02f92d08168bde8e4d866e6e workload-management                     2.19.0
5c5bce60b21caf8d7db67165d704ade5 analysis-icu                            2.19.0
5c5bce60b21caf8d7db67165d704ade5 analysis-ik                             2.19.0
5c5bce60b21caf8d7db67165d704ade5 analysis-kuromoji                       2.19.0
5c5bce60b21caf8d7db67165d704ade5 analysis-phonetic                       2.19.0
5c5bce60b21caf8d7db67165d704ade5 analysis-seunjeon                       2.19.0
5c5bce60b21caf8d7db67165d704ade5 analysis-smartcn                        2.19.0
5c5bce60b21caf8d7db67165d704ade5 analysis-stempel                        2.19.0
5c5bce60b21caf8d7db67165d704ade5 analysis-thaichub2                      2.19.0
5c5bce60b21caf8d7db67165d704ade5 analysis-ukrainian                      2.19.0
5c5bce60b21caf8d7db67165d704ade5 aws-opensearch-admission-control-plugin 2.19.0
5c5bce60b21caf8d7db67165d704ade5 aws-opensearch-coral-network-plugin     2.19.0
5c5bce60b21caf8d7db67165d704ade5 aws-opensearch-network-core-plugin      2.19.0
5c5bce60b21caf8d7db67165d704ade5 aws-opensearch-network-plugin           2.19.0
5c5bce60b21caf8d7db67165d704ade5 aws-opensearch-network-security-plugin  2.19.0
5c5bce60b21caf8d7db67165d704ade5 cache-ehcache                           2.19.0
5c5bce60b21caf8d7db67165d704ade5 crypto-kms                              2.19.0
5c5bce60b21caf8d7db67165d704ade5 discovery-ec2                           2.19.0
5c5bce60b21caf8d7db67165d704ade5 elasticsearch-aes-iam                   2.16.0
5c5bce60b21caf8d7db67165d704ade5 elasticsearch-aes-remote-reindex        2.19.0
5c5bce60b21caf8d7db67165d704ade5 ingest-attachment                       2.19.0
5c5bce60b21caf8d7db67165d704ade5 kraken                                  unspecified
5c5bce60b21caf8d7db67165d704ade5 kraken-index-management-extension       x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 mapper-murmur3                          2.19.0
5c5bce60b21caf8d7db67165d704ade5 mapper-size                             2.19.0
5c5bce60b21caf8d7db67165d704ade5 opensearch-alerting                     x.x.x.x
5c5bce60b21caf8d7db67165d704ade5 opensearch-analysis-sudachi             2.19.0
5c5bce60b21caf8d7db67165d704ade5 opensearch-analysis-vietnamese          2.19.0
5c5bce60b21caf8d7db67165d704ade5 opensearch-anomaly-detection            x.x.x.x
