"No.","Time","Source","Destination","Protocol","Length","Info"
"37","1.570222","127.0.0.1","127.0.0.1","TCP","68","53654  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=1001325086 TSecr=0 SACK_PERM"
"38","1.570330","127.0.0.1","127.0.0.1","TCP","68","6379  >  53654 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=1174198074 TSecr=1001325086 SACK_PERM"
"39","1.570339","127.0.0.1","127.0.0.1","TCP","56","53654  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=1001325086 TSecr=1174198074"
"40","1.570351","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  53654 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=1174198074 TSecr=1001325086"
"41","1.570367","127.0.0.1","127.0.0.1","RESP","133","Request: CONFIG GET save CONFIG GET appendonly"
"42","1.570381","127.0.0.1","127.0.0.1","TCP","56","6379  >  53654 [ACK] Seq=1 Ack=78 Win=408192 Len=0 TSval=1174198074 TSecr=1001325086"
"43","1.572835","127.0.0.1","127.0.0.1","RESP","129","Response: Array(2) Array(2)"
"44","1.572858","127.0.0.1","127.0.0.1","TCP","56","53654  >  6379 [ACK] Seq=78 Ack=74 Win=408192 Len=0 TSval=1001325089 TSecr=1174198077"
"45","1.572962","127.0.0.1","127.0.0.1","TCP","56","53654  >  6379 [FIN, ACK] Seq=78 Ack=74 Win=408192 Len=0 TSval=1001325089 TSecr=1174198077"
"46","1.572981","127.0.0.1","127.0.0.1","TCP","56","6379  >  53654 [ACK] Seq=74 Ack=79 Win=408192 Len=0 TSval=1174198077 TSecr=1001325089"
"47","1.573279","127.0.0.1","127.0.0.1","TCP","68","53655  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=3506850032 TSecr=0 SACK_PERM"
"48","1.573319","127.0.0.1","127.0.0.1","TCP","56","6379  >  53654 [FIN, ACK] Seq=74 Ack=79 Win=408192 Len=0 TSval=1174198077 TSecr=1001325089"
"49","1.573350","127.0.0.1","127.0.0.1","TCP","68","6379  >  53655 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=3813907333 TSecr=3506850032 SACK_PERM"
"50","1.573370","127.0.0.1","127.0.0.1","TCP","56","53654  >  6379 [ACK] Seq=79 Ack=75 Win=408192 Len=0 TSval=1001325089 TSecr=1174198077"
"51","1.573378","127.0.0.1","127.0.0.1","TCP","56","53655  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=3506850032 TSecr=3813907333"
"52","1.573401","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  53655 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=3813907333 TSecr=3506850032"
"53","1.573850","127.0.0.1","127.0.0.1","RESP","5101","Request: SET key:__rand_int__ BulkString(5000)"
"54","1.573867","127.0.0.1","127.0.0.1","TCP","56","6379  >  53655 [ACK] Seq=1 Ack=5046 Win=403200 Len=0 TSval=3813907334 TSecr=3506850033"
"55","1.574391","127.0.0.1","127.0.0.1","RESP","61","Response: OK"
"56","1.574412","127.0.0.1","127.0.0.1","TCP","56","53655  >  6379 [ACK] Seq=5046 Ack=6 Win=408256 Len=0 TSval=3506850033 TSecr=3813907334"
"57","1.574452","127.0.0.1","127.0.0.1","TCP","56","53655  >  6379 [FIN, ACK] Seq=5046 Ack=6 Win=408256 Len=0 TSval=3506850033 TSecr=3813907334"
"58","1.574471","127.0.0.1","127.0.0.1","TCP","56","6379  >  53655 [ACK] Seq=6 Ack=5047 Win=403200 Len=0 TSval=3813907334 TSecr=3506850033"
"59","1.574757","127.0.0.1","127.0.0.1","TCP","56","6379  >  53655 [FIN, ACK] Seq=6 Ack=5047 Win=403200 Len=0 TSval=3813907334 TSecr=3506850033"
"60","1.574786","127.0.0.1","127.0.0.1","TCP","56","53655  >  6379 [ACK] Seq=5047 Ack=7 Win=408256 Len=0 TSval=3506850033 TSecr=3813907334"
