"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","68","62279  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=197598264 TSecr=0 SACK_PERM"
"2","0.000590","127.0.0.1","127.0.0.1","TCP","68","6379  >  62279 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=2690682617 TSecr=197598264 SACK_PERM"
"3","0.000626","127.0.0.1","127.0.0.1","TCP","56","62279  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=197598264 TSecr=2690682617"
"4","0.000648","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  62279 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=2690682617 TSecr=197598264"
"5","0.000674","127.0.0.1","127.0.0.1","RESP","133","Request: CONFIG GET save CONFIG GET appendonly"
"6","0.000703","127.0.0.1","127.0.0.1","TCP","56","6379  >  62279 [ACK] Seq=1 Ack=78 Win=408192 Len=0 TSval=2690682617 TSecr=197598264"
"7","0.003531","127.0.0.1","127.0.0.1","RESP","129","Response: Array(2) Array(2)"
"8","0.003563","127.0.0.1","127.0.0.1","TCP","56","62279  >  6379 [ACK] Seq=78 Ack=74 Win=408192 Len=0 TSval=197598268 TSecr=2690682621"
"9","0.003607","127.0.0.1","127.0.0.1","TCP","56","62279  >  6379 [FIN, ACK] Seq=78 Ack=74 Win=408192 Len=0 TSval=197598268 TSecr=2690682621"
"10","0.003644","127.0.0.1","127.0.0.1","TCP","56","6379  >  62279 [ACK] Seq=74 Ack=79 Win=408192 Len=0 TSval=2690682621 TSecr=197598268"
"11","0.003879","127.0.0.1","127.0.0.1","TCP","68","62281  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=114076970 TSecr=0 SACK_PERM"
"12","0.004047","127.0.0.1","127.0.0.1","TCP","68","6379  >  62281 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=1354646234 TSecr=114076970 SACK_PERM"
"13","0.004058","127.0.0.1","127.0.0.1","TCP","56","62281  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=114076970 TSecr=1354646234"
"14","0.004071","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  62281 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=1354646234 TSecr=114076970"
"15","0.004164","127.0.0.1","127.0.0.1","TCP","56","6379  >  62279 [FIN, ACK] Seq=74 Ack=79 Win=408192 Len=0 TSval=2690682621 TSecr=197598268"
"16","0.004205","127.0.0.1","127.0.0.1","TCP","56","62279  >  6379 [ACK] Seq=79 Ack=75 Win=408192 Len=0 TSval=197598268 TSecr=2690682621"
"17","0.004297","127.0.0.1","127.0.0.1","TCP","16388","62281  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=16332 TSval=114076970 TSecr=1354646234 [TCP PDU reassembled in 18]"
"18","0.004299","127.0.0.1","127.0.0.1","RESP","3770","Request: SET key:__rand_int__ BulkString(20000)"
"19","0.004350","127.0.0.1","127.0.0.1","TCP","56","6379  >  62281 [ACK] Seq=1 Ack=16333 Win=391936 Len=0 TSval=1354646234 TSecr=114076970"
"20","0.004367","127.0.0.1","127.0.0.1","TCP","56","6379  >  62281 [ACK] Seq=1 Ack=20047 Win=388224 Len=0 TSval=1354646234 TSecr=114076970"
"21","0.005976","127.0.0.1","127.0.0.1","RESP","61","Response: OK"
"22","0.006007","127.0.0.1","127.0.0.1","TCP","56","62281  >  6379 [ACK] Seq=20047 Ack=6 Win=408256 Len=0 TSval=114076972 TSecr=1354646236"
"23","0.006043","127.0.0.1","127.0.0.1","TCP","56","62281  >  6379 [FIN, ACK] Seq=20047 Ack=6 Win=408256 Len=0 TSval=114076972 TSecr=1354646236"
"24","0.006078","127.0.0.1","127.0.0.1","TCP","56","6379  >  62281 [ACK] Seq=6 Ack=20048 Win=388224 Len=0 TSval=1354646236 TSecr=114076972"
"25","0.006892","127.0.0.1","127.0.0.1","TCP","56","6379  >  62281 [FIN, ACK] Seq=6 Ack=20048 Win=388224 Len=0 TSval=1354646236 TSecr=114076972"
"26","0.006935","127.0.0.1","127.0.0.1","TCP","56","62281  >  6379 [ACK] Seq=20048 Ack=7 Win=408256 Len=0 TSval=114076972 TSecr=1354646236"
