"No.","Time","Source","Destination","Protocol","Length","Info"
"59","5.642956","127.0.0.1","127.0.0.1","TCP","68","56066  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=3224848561 TSecr=0 SACK_PERM"
"60","5.643197","127.0.0.1","127.0.0.1","TCP","68","6379  >  56066 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=2083698979 TSecr=3224848561 SACK_PERM"
"61","5.643216","127.0.0.1","127.0.0.1","TCP","56","56066  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=3224848561 TSecr=2083698979"
"62","5.643227","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  56066 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=2083698979 TSecr=3224848561"
"63","5.643568","127.0.0.1","127.0.0.1","RESP","92","Request: get key:__rand_int__"
"64","5.643591","127.0.0.1","127.0.0.1","TCP","56","6379  >  56066 [ACK] Seq=1 Ack=37 Win=408256 Len=0 TSval=2083698979 TSecr=3224848561"
"65","5.645951","127.0.0.1","127.0.0.1","TCP","16388","6379  >  56066 [ACK] Seq=1 Ack=37 Win=408256 Len=16332 TSval=2083698982 TSecr=3224848561 [TCP PDU reassembled in 66]"
"66","5.645952","127.0.0.1","127.0.0.1","RESP","3734","Response: BulkString(20000)"
"67","5.645995","127.0.0.1","127.0.0.1","TCP","56","56066  >  6379 [ACK] Seq=37 Ack=16333 Win=391936 Len=0 TSval=3224848564 TSecr=2083698982"
"68","5.646007","127.0.0.1","127.0.0.1","TCP","56","56066  >  6379 [ACK] Seq=37 Ack=20011 Win=388288 Len=0 TSval=3224848564 TSecr=2083698982"
"69","5.653400","127.0.0.1","127.0.0.1","TCP","56","56066  >  6379 [FIN, ACK] Seq=37 Ack=20011 Win=388288 Len=0 TSval=3224848571 TSecr=2083698982"
"70","5.653428","127.0.0.1","127.0.0.1","TCP","56","6379  >  56066 [ACK] Seq=20011 Ack=38 Win=408256 Len=0 TSval=2083698989 TSecr=3224848571"
"71","5.654794","127.0.0.1","127.0.0.1","TCP","56","6379  >  56066 [FIN, ACK] Seq=20011 Ack=38 Win=408256 Len=0 TSval=2083698991 TSecr=3224848571"
"72","5.654840","127.0.0.1","127.0.0.1","TCP","56","56066  >  6379 [ACK] Seq=38 Ack=20012 Win=388288 Len=0 TSval=3224848573 TSecr=2083698991"
