"No.","Time","Source","Destination","Protocol","Length","Info"
"353","38.295769","127.0.0.1","127.0.0.1","TCP","68","62069  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=860833609 TSecr=0 SACK_PERM"
"354","38.295917","127.0.0.1","127.0.0.1","TCP","68","6379  >  62069 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=2776194399 TSecr=860833609 SACK_PERM"
"355","38.295932","127.0.0.1","127.0.0.1","TCP","56","62069  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=860833609 TSecr=2776194399"
"356","38.295945","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  62069 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=2776194399 TSecr=860833609"
"357","38.296076","127.0.0.1","127.0.0.1","RESP","90","Request: set test-1 aaa"
"358","38.296089","127.0.0.1","127.0.0.1","TCP","56","6379  >  62069 [ACK] Seq=1 Ack=35 Win=408256 Len=0 TSval=2776194399 TSecr=860833609"
"359","38.298274","127.0.0.1","127.0.0.1","RESP","61","Response: OK"
"360","38.298292","127.0.0.1","127.0.0.1","TCP","56","62069  >  6379 [ACK] Seq=35 Ack=6 Win=408256 Len=0 TSval=860833611 TSecr=2776194401"
"361","38.298688","127.0.0.1","127.0.0.1","TCP","56","62069  >  6379 [FIN, ACK] Seq=35 Ack=6 Win=408256 Len=0 TSval=860833612 TSecr=2776194401"
"362","38.298706","127.0.0.1","127.0.0.1","TCP","56","6379  >  62069 [ACK] Seq=6 Ack=36 Win=408256 Len=0 TSval=2776194402 TSecr=860833612"
"363","38.299079","127.0.0.1","127.0.0.1","TCP","56","6379  >  62069 [FIN, ACK] Seq=6 Ack=36 Win=408256 Len=0 TSval=2776194402 TSecr=860833612"
"364","38.299111","127.0.0.1","127.0.0.1","TCP","56","62069  >  6379 [ACK] Seq=36 Ack=7 Win=408256 Len=0 TSval=860833612 TSecr=2776194402"
