"No.","Time","Source","Destination","Protocol","Length","Info"
"37","3.993255","127.0.0.1","127.0.0.1","TCP","68","55839  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=2041941481 TSecr=0 SACK_PERM"
"38","3.994066","127.0.0.1","127.0.0.1","TCP","68","6379  >  55839 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=656471586 TSecr=2041941481 SACK_PERM"
"39","3.994100","127.0.0.1","127.0.0.1","TCP","56","55839  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=2041941482 TSecr=656471586"
"40","3.994124","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  55839 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=656471587 TSecr=2041941482"
"41","3.994138","127.0.0.1","127.0.0.1","RESP","133","Request: CONFIG GET save CONFIG GET appendonly"
"42","3.994169","127.0.0.1","127.0.0.1","TCP","56","6379  >  55839 [ACK] Seq=1 Ack=78 Win=408192 Len=0 TSval=656471587 TSecr=2041941482"
"43","3.996980","127.0.0.1","127.0.0.1","RESP","129","Response: Array(2) Array(2)"
"44","3.997014","127.0.0.1","127.0.0.1","TCP","56","55839  >  6379 [ACK] Seq=78 Ack=74 Win=408192 Len=0 TSval=2041941485 TSecr=656471590"
"45","3.997049","127.0.0.1","127.0.0.1","TCP","56","55839  >  6379 [FIN, ACK] Seq=78 Ack=74 Win=408192 Len=0 TSval=2041941485 TSecr=656471590"
"46","3.997081","127.0.0.1","127.0.0.1","TCP","56","6379  >  55839 [ACK] Seq=74 Ack=79 Win=408192 Len=0 TSval=656471590 TSecr=2041941485"
"47","3.997184","127.0.0.1","127.0.0.1","TCP","68","55841  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=2378154623 TSecr=0 SACK_PERM"
"48","3.997353","127.0.0.1","127.0.0.1","TCP","68","6379  >  55841 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=2205446179 TSecr=2378154623 SACK_PERM"
"49","3.997376","127.0.0.1","127.0.0.1","TCP","56","55841  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=2378154623 TSecr=2205446179"
"50","3.997397","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  55841 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=2205446179 TSecr=2378154623"
"51","3.997451","127.0.0.1","127.0.0.1","RESP","5101","Request: SET key:__rand_int__ BulkString(5000)"
"52","3.997478","127.0.0.1","127.0.0.1","TCP","56","6379  >  55841 [ACK] Seq=1 Ack=5046 Win=403200 Len=0 TSval=2205446179 TSecr=2378154623"
"53","3.997708","127.0.0.1","127.0.0.1","TCP","56","6379  >  55839 [FIN, ACK] Seq=74 Ack=79 Win=408192 Len=0 TSval=656471590 TSecr=2041941485"
"54","3.997752","127.0.0.1","127.0.0.1","TCP","56","55839  >  6379 [ACK] Seq=79 Ack=75 Win=408192 Len=0 TSval=2041941485 TSecr=656471590"
"55","3.998936","127.0.0.1","127.0.0.1","RESP","61","Response: OK"
"56","3.998967","127.0.0.1","127.0.0.1","TCP","56","55841  >  6379 [ACK] Seq=5046 Ack=6 Win=408256 Len=0 TSval=2378154625 TSecr=2205446181"
"57","3.999001","127.0.0.1","127.0.0.1","TCP","56","55841  >  6379 [FIN, ACK] Seq=5046 Ack=6 Win=408256 Len=0 TSval=2378154625 TSecr=2205446181"
"58","3.999029","127.0.0.1","127.0.0.1","TCP","56","6379  >  55841 [ACK] Seq=6 Ack=5047 Win=403200 Len=0 TSval=2205446181 TSecr=2378154625"
"59","3.999645","127.0.0.1","127.0.0.1","TCP","56","6379  >  55841 [FIN, ACK] Seq=6 Ack=5047 Win=403200 Len=0 TSval=2205446181 TSecr=2378154625"
"60","3.999680","127.0.0.1","127.0.0.1","TCP","56","55841  >  6379 [ACK] Seq=5047 Ack=7 Win=408256 Len=0 TSval=2378154625 TSecr=2205446181"
