"No.","Time","Source","Destination","Protocol","Length","Info"
"71","7.983448","127.0.0.1","127.0.0.1","TCP","68","64206  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=2115046194 TSecr=0 SACK_PERM"
"72","7.983668","127.0.0.1","127.0.0.1","TCP","68","6379  >  64206 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=3205741640 TSecr=2115046194 SACK_PERM"
"73","7.983682","127.0.0.1","127.0.0.1","TCP","56","64206  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=2115046194 TSecr=3205741640"
"74","7.983699","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  64206 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=3205741640 TSecr=2115046194"
"75","7.983713","127.0.0.1","127.0.0.1","RESP","133","Request: CONFIG GET save CONFIG GET appendonly"
"76","7.983730","127.0.0.1","127.0.0.1","TCP","56","6379  >  64206 [ACK] Seq=1 Ack=78 Win=408192 Len=0 TSval=3205741640 TSecr=2115046194"
"77","7.989792","127.0.0.1","127.0.0.1","RESP","129","Response: Array(2) Array(2)"
"78","7.989836","127.0.0.1","127.0.0.1","TCP","56","64206  >  6379 [ACK] Seq=78 Ack=74 Win=408192 Len=0 TSval=2115046201 TSecr=3205741647"
"79","7.989881","127.0.0.1","127.0.0.1","TCP","56","64206  >  6379 [FIN, ACK] Seq=78 Ack=74 Win=408192 Len=0 TSval=2115046201 TSecr=3205741647"
"80","7.989899","127.0.0.1","127.0.0.1","TCP","56","6379  >  64206 [ACK] Seq=74 Ack=79 Win=408192 Len=0 TSval=3205741647 TSecr=2115046201"
"81","7.990257","127.0.0.1","127.0.0.1","TCP","68","64207  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=3090973237 TSecr=0 SACK_PERM"
"82","7.990434","127.0.0.1","127.0.0.1","TCP","68","6379  >  64207 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=3351445411 TSecr=3090973237 SACK_PERM"
"83","7.990442","127.0.0.1","127.0.0.1","TCP","56","64207  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=3090973237 TSecr=3351445411"
"84","7.990454","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  64207 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=3351445411 TSecr=3090973237"
"85","7.990528","127.0.0.1","127.0.0.1","TCP","56","6379  >  64206 [FIN, ACK] Seq=74 Ack=79 Win=408192 Len=0 TSval=3205741647 TSecr=2115046201"
"86","7.990554","127.0.0.1","127.0.0.1","TCP","56","64206  >  6379 [ACK] Seq=79 Ack=75 Win=408192 Len=0 TSval=2115046201 TSecr=3205741647"
"87","7.990660","127.0.0.1","127.0.0.1","TCP","16388","64207  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=16332 TSval=3090973237 TSecr=3351445411 [TCP PDU reassembled in 88]"
"88","7.990661","127.0.0.1","127.0.0.1","RESP","3770","Request: SET key:__rand_int__ BulkString(20000)"
"89","7.990677","127.0.0.1","127.0.0.1","TCP","56","6379  >  64207 [ACK] Seq=1 Ack=16333 Win=391936 Len=0 TSval=3351445411 TSecr=3090973237"
"90","7.990689","127.0.0.1","127.0.0.1","TCP","56","6379  >  64207 [ACK] Seq=1 Ack=20047 Win=388224 Len=0 TSval=3351445411 TSecr=3090973237"
"91","7.993116","127.0.0.1","127.0.0.1","RESP","61","Response: OK"
"92","7.993162","127.0.0.1","127.0.0.1","TCP","56","64207  >  6379 [ACK] Seq=20047 Ack=6 Win=408256 Len=0 TSval=3090973240 TSecr=3351445414"
"93","7.993233","127.0.0.1","127.0.0.1","TCP","56","64207  >  6379 [FIN, ACK] Seq=20047 Ack=6 Win=408256 Len=0 TSval=3090973240 TSecr=3351445414"
"94","7.993257","127.0.0.1","127.0.0.1","TCP","56","6379  >  64207 [ACK] Seq=6 Ack=20048 Win=388224 Len=0 TSval=3351445414 TSecr=3090973240"
"95","7.993729","127.0.0.1","127.0.0.1","TCP","56","6379  >  64207 [FIN, ACK] Seq=6 Ack=20048 Win=388224 Len=0 TSval=3351445414 TSecr=3090973240"
"96","7.993773","127.0.0.1","127.0.0.1","TCP","56","64207  >  6379 [ACK] Seq=20048 Ack=7 Win=408256 Len=0 TSval=3090973240 TSecr=3351445414"
