"No.","Time","Source","Destination","Protocol","Length","Info"
"748","85.627815","127.0.0.1","127.0.0.1","TCP","68","63673  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=1395555889 TSecr=0 SACK_PERM"
"749","85.627971","127.0.0.1","127.0.0.1","TCP","68","6379  >  63673 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=3302688167 TSecr=1395555889 SACK_PERM"
"750","85.627989","127.0.0.1","127.0.0.1","TCP","56","63673  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=1395555889 TSecr=3302688167"
"751","85.628001","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  63673 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=3302688167 TSecr=1395555889"
"752","85.628431","127.0.0.1","127.0.0.1","RESP","81","Request: get test-3"
"753","85.628453","127.0.0.1","127.0.0.1","TCP","56","6379  >  63673 [ACK] Seq=1 Ack=26 Win=408256 Len=0 TSval=3302688167 TSecr=1395555889"
"754","85.629922","127.0.0.1","127.0.0.1","RESP","65","Response: aaa"
"755","85.629939","127.0.0.1","127.0.0.1","TCP","56","63673  >  6379 [ACK] Seq=26 Ack=10 Win=408256 Len=0 TSval=1395555891 TSecr=3302688169"
"756","85.630264","127.0.0.1","127.0.0.1","TCP","56","63673  >  6379 [FIN, ACK] Seq=26 Ack=10 Win=408256 Len=0 TSval=1395555891 TSecr=3302688169"
"757","85.630297","127.0.0.1","127.0.0.1","TCP","56","6379  >  63673 [ACK] Seq=10 Ack=27 Win=408256 Len=0 TSval=3302688169 TSecr=1395555891"
"758","85.630821","127.0.0.1","127.0.0.1","TCP","56","6379  >  63673 [FIN, ACK] Seq=10 Ack=27 Win=408256 Len=0 TSval=3302688169 TSecr=1395555891"
"759","85.630858","127.0.0.1","127.0.0.1","TCP","56","63673  >  6379 [ACK] Seq=27 Ack=11 Win=408256 Len=0 TSval=1395555891 TSecr=3302688169"
