"No.","Time","Source","Destination","Protocol","Length","Info"
"83","6.475522","127.0.0.1","127.0.0.1","TCP","68","54243  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=4146695954 TSecr=0 SACK_PERM"
"84","6.475766","127.0.0.1","127.0.0.1","TCP","68","6379  >  54243 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=4134897148 TSecr=4146695954 SACK_PERM"
"85","6.475780","127.0.0.1","127.0.0.1","TCP","56","54243  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=4146695954 TSecr=4134897148"
"86","6.475792","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  54243 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=4134897148 TSecr=4146695954"
"87","6.476107","127.0.0.1","127.0.0.1","RESP","92","Request: get key:__rand_int__"
"88","6.476129","127.0.0.1","127.0.0.1","TCP","56","6379  >  54243 [ACK] Seq=1 Ack=37 Win=408256 Len=0 TSval=4134897148 TSecr=4146695954"
"89","6.477732","127.0.0.1","127.0.0.1","RESP","5065","Response: BulkString(5000)"
"90","6.477776","127.0.0.1","127.0.0.1","TCP","56","54243  >  6379 [ACK] Seq=37 Ack=5010 Win=403264 Len=0 TSval=4146695956 TSecr=4134897150"
"91","6.478986","127.0.0.1","127.0.0.1","TCP","56","54243  >  6379 [FIN, ACK] Seq=37 Ack=5010 Win=403264 Len=0 TSval=4146695958 TSecr=4134897150"
"92","6.479019","127.0.0.1","127.0.0.1","TCP","56","6379  >  54243 [ACK] Seq=5010 Ack=38 Win=408256 Len=0 TSval=4134897152 TSecr=4146695958"
"93","6.479607","127.0.0.1","127.0.0.1","TCP","56","6379  >  54243 [FIN, ACK] Seq=5010 Ack=38 Win=408256 Len=0 TSval=4134897152 TSecr=4146695958"
"94","6.479653","127.0.0.1","127.0.0.1","TCP","56","54243  >  6379 [ACK] Seq=38 Ack=5011 Win=403264 Len=0 TSval=4146695958 TSecr=4134897152"
