"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.378424","127.0.0.1","127.0.0.1","TCP","68","63770  >  6379 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=3526436117 TSecr=0 SACK_PERM"
"4","0.378700","127.0.0.1","127.0.0.1","TCP","68","6379  >  63770 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=1326261159 TSecr=3526436117 SACK_PERM"
"5","0.378721","127.0.0.1","127.0.0.1","TCP","56","63770  >  6379 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=3526436117 TSecr=1326261159"
"6","0.378736","127.0.0.1","127.0.0.1","TCP","56","[TCP Window Update] 6379  >  63770 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=1326261159 TSecr=3526436117"
"7","0.379031","127.0.0.1","127.0.0.1","RESP","90","Request: set test-1 aaa"
"8","0.379049","127.0.0.1","127.0.0.1","TCP","56","6379  >  63770 [ACK] Seq=1 Ack=35 Win=408256 Len=0 TSval=1326261159 TSecr=3526436117"
"9","0.381114","127.0.0.1","127.0.0.1","RESP","61","Response: OK"
"10","0.381131","127.0.0.1","127.0.0.1","TCP","56","63770  >  6379 [ACK] Seq=35 Ack=6 Win=408256 Len=0 TSval=3526436120 TSecr=1326261162"
"11","0.381403","127.0.0.1","127.0.0.1","TCP","56","63770  >  6379 [FIN, ACK] Seq=35 Ack=6 Win=408256 Len=0 TSval=3526436120 TSecr=1326261162"
"12","0.381425","127.0.0.1","127.0.0.1","TCP","56","6379  >  63770 [ACK] Seq=6 Ack=36 Win=408256 Len=0 TSval=1326261162 TSecr=3526436120"
"13","0.381892","127.0.0.1","127.0.0.1","TCP","56","6379  >  63770 [FIN, ACK] Seq=6 Ack=36 Win=408256 Len=0 TSval=1326261162 TSecr=3526436120"
"14","0.381918","127.0.0.1","127.0.0.1","TCP","56","63770  >  6379 [ACK] Seq=36 Ack=7 Win=408256 Len=0 TSval=3526436120 TSecr=1326261162"
